x,open,high,low,close
2014-02-04T00:00:00.000,5262.5,5537.5,5262.5,5387.5
2014-02-05T00:00:00.000,5387.5,5487.5,5375,5487.5
2014-02-06T00:00:00.000,5487.5,5550,5437.5,5550
2014-02-07T00:00:00.000,5550,5575,5487.5,5575
2014-02-10T00:00:00.000,5575,5600,5500,5550
2014-02-11T00:00:00.000,5475,5550,5462.5,5525
2014-02-12T00:00:00.000,5550,5550,5462.5,5475
2014-02-13T00:00:00.000,5500,5500,5425,5462.5
2014-02-14T00:00:00.000,5475,5475,5425,5437.5
2014-02-17T00:00:00.000,5475,5487.5,5375,5400
2014-02-18T00:00:00.000,5437.5,5437.5,5325,5350
2014-02-19T00:00:00.000,5350,5400,5337.5,5400
2014-02-20T00:00:00.000,5387.5,5437.5,5387.5,5387.5
2014-02-21T00:00:00.000,5400,5475,5400,5450
2014-02-24T00:00:00.000,5475,5600,5425,5600
2014-02-25T00:00:00.000,5625,5675,5600,5625
2014-02-26T00:00:00.000,5350,5612.5,5350,5450
2014-02-27T00:00:00.000,5450,5575,5450,5500
2014-02-28T00:00:00.000,5500,5600,5500,5587.5
2014-03-03T00:00:00.000,5512.5,5637.5,5512.5,5562.5
2014-03-04T00:00:00.000,5550,5550,5412.5,5462.5
2014-03-05T00:00:00.000,5475,5512.5,5462.5,5475
2014-03-06T00:00:00.000,5475,5500,5450,5462.5
2014-03-07T00:00:00.000,5462.5,5500,5450,5450
2014-03-10T00:00:00.000,5425,5450,5412.5,5437.5
2014-03-11T00:00:00.000,5487.5,5500,5412.5,5500
2014-03-12T00:00:00.000,5475,5500,5437.5,5500
2014-03-13T00:00:00.000,5500,5562.5,5487.5,5512.5
2014-03-14T00:00:00.000,5450,5600,5425,5550
2014-03-17T00:00:00.000,5625,5650,5475,5575
2014-03-18T00:00:00.000,5587.5,5587.5,5425,5425
2014-03-19T00:00:00.000,5487.5,5487.5,5412.5,5412.5
2014-03-20T00:00:00.000,5412.5,5412.5,5300,5400
2014-03-21T00:00:00.000,5425,5487.5,5400,5487.5
2014-03-24T00:00:00.000,5437.5,5437.5,5012.5,5100
2014-03-25T00:00:00.000,5100,5100,4975,5000
2014-03-26T00:00:00.000,5012.5,5062.5,5012.5,5025
2014-03-27T00:00:00.000,5050,5100,5037.5,5075
2014-03-28T00:00:00.000,5100,5125,5050,5050
2014-04-01T00:00:00.000,5125,5137.5,5025,5037.5
2014-04-02T00:00:00.000,5050,5075,5000,5000
2014-04-03T00:00:00.000,5000,5037.5,4975,5025
2014-04-04T00:00:00.000,5000,5025,4987.5,5000
2014-04-07T00:00:00.000,4962.5,5050,4962.5,5037.5
2014-04-08T00:00:00.000,5025,5025,4975,5000
2014-04-10T00:00:00.000,5025,5025,4962.5,4962.5
2014-04-11T00:00:00.000,4925,5000,4900,4962.5
2014-04-14T00:00:00.000,4962.5,5012.5,4962.5,5000
2014-04-15T00:00:00.000,5000,5050,4987.5,5025
2014-04-16T00:00:00.000,4987.5,5012.5,4987.5,4987.5
2014-04-17T00:00:00.000,4987.5,5012.5,4975,4987.5
2014-04-21T00:00:00.000,5012.5,5012.5,4987.5,4987.5
2014-04-22T00:00:00.000,4987.5,5000,4987.5,4987.5
2014-04-23T00:00:00.000,5000,5025,4987.5,5000
2014-04-24T00:00:00.000,5000,5012.5,4987.5,5000
2014-04-25T00:00:00.000,5000,5000,4987.5,4987.5
2014-04-28T00:00:00.000,5000,5012.5,4962.5,5000
2014-04-29T00:00:00.000,4975,5025,4975,5000
2014-04-30T00:00:00.000,5050,5050,4975,5000
2014-05-02T00:00:00.000,5000,5000,4975,4987.5
2014-05-05T00:00:00.000,4962.5,5000,4962.5,4987.5
2014-05-06T00:00:00.000,4975,5000,4975,4987.5
2014-05-07T00:00:00.000,4987.5,5000,4962.5,5000
2014-05-08T00:00:00.000,4987.5,5000,4975,4987.5
2014-05-09T00:00:00.000,4975,5000,4975,4987.5
2014-05-12T00:00:00.000,5000,5000,4962.5,4975
2014-05-13T00:00:00.000,5000,5012.5,4975,5000
2014-05-14T00:00:00.000,5012.5,5162.5,5012.5,5150
2014-05-16T00:00:00.000,5150,5187.5,5125,5162.5
2014-05-19T00:00:00.000,5175,5200,5050,5112.5
2014-05-20T00:00:00.000,5075,5087.5,4987.5,4987.5
2014-05-21T00:00:00.000,5000,5037.5,4987.5,5025
2014-05-22T00:00:00.000,5050,5050,4987.5,4987.5
2014-05-23T00:00:00.000,5000,5100,4987.5,5100
2014-05-26T00:00:00.000,5075,5087.5,5037.5,5087.5
2014-05-28T00:00:00.000,5087.5,5162.5,5087.5,5137.5
2014-05-30T00:00:00.000,5137.5,5162.5,5075,5100
